Mean488,Mean560,Cell Status
1381.31,301.8,Live
7104,266.08,Live
8072.78,250.8,Live
960.01,594.37,Live
813.88,425.85,Live
8985.28,249.68,Live
23917.14,292.2,Live
989.88,548.35,Live
1316.68,463.89,Live
7951.51,322.52,Live
1219.69,369.88,Live
6562.16,242.57,Live
967.05,349.71,Live
10488.36,259.88,Live
848.12,319.77,Live
1111.79,758.28,Live
764.12,304.47,Live
1452.65,747.13,Live
6783.47,394.52,Live
1437.21,2082.4,Live
2898.07,384.24,Live
1102.03,359.97,Live
2512.5,542.46,Live
1442.72,506.7,Live
789.38,286.07,Live
7287.58,249.28,Live
849,893.48,Live
1457.07,443,Live
7071.09,262.34,Live
1051.19,311.84,Live
1264.76,627.79,Live
2861.23,287.41,Live
7549.57,295.53,Live
1082.58,1798.53,Live
1001.65,504.32,Live
928,538.54,Live
17136.5,312.12,Live
1076.75,699.16,Live
1232.32,520,Live
1287.96,339.72,Live
1250.94,368.62,Live
942.24,908.63,Live
5474.46,291.57,Live
10732.02,428.22,Live
1270.61,2722.35,Live
1269.12,638.61,Live
1100.53,1126.96,Live
11160.69,281.83,Live
1503.95,1724.19,Live
7687.68,250.39,Live
1075.84,386.38,Live
1027.63,314.37,Live
975.17,680.48,Live
909.28,501.65,Live
1907.59,980.55,Live
956.32,661.87,Live
865.12,326.85,Live
1516.51,1529.47,Live
1323.6,370.85,Live
1268.24,1152.47,Live
1266.54,344.86,Live
1267.7,1236.88,Live
1368.58,2323.87,Live
5036.61,279.16,Live
902.18,313.97,Live
8599.14,262.2,Live
6248.46,305.81,Live
1040.97,319.13,Live
1022.93,336.74,Live
1046.69,861.23,Live
1024.01,498.68,Live
1189.8,541.43,Live
4125.48,294.7,Live
10402.29,261.16,Live
801.45,2491.11,Live
973.08,348.31,Live
9095.96,272.98,Live
10720.44,254.83,Live
1196,1024.8,Live
880.94,2004.79,Live
1369.75,341.58,Live
11511.33,259.56,Live
778.83,283.12,Live
1457.53,2060.28,Live
7331.58,253.2,Live
5731.36,331.02,Live
12799.75,273.18,Live
1075.38,1280.19,Live
1641.4,446.68,Live
8898.87,257.16,Live
910.7,1649.37,Live
1717.05,704.64,Live
1954.42,386.54,Live
820.41,3422.21,Live
1201.44,614.9,Live
1883.15,2255.17,Live
6913.02,256.2,Live
895.41,322.12,Live
8554.49,290.52,Live
13521.33,301.44,Live
4789.47,291.49,Live
11337.81,259.94,Live
1227.48,1251.92,Live
1267.59,614.97,Live
1583.29,354.48,Live
9507.43,355.99,Live
853.12,288.82,Live
7554.55,272.44,Live
1639.38,347.2,Live
1402.08,561.04,Live
1179.88,348.24,Live
1431.05,424.67,Live
3826.33,4387.88,Live
11883.41,275.08,Live
2894.58,363.87,Live
16207.25,290.2,Live
1732.02,2233.5,Live
1225.89,575.15,Live
1098.84,705.92,Live
12658.96,282.37,Live
885.49,389.4,Live
10343,270.32,Live
1020.78,2259.44,Live
1761.09,287.06,Live
1174.34,340.98,Live
1732.69,327.9,Live
1099.28,343.53,Live
3745.75,1970.8,Live
10752.38,284.36,Live
7720.33,294.23,Live
1319.29,370.77,Live
968.65,652.59,Live
8411.49,266.98,Live
1244.71,1152.52,Live
8083.43,262.42,Live
10533.67,275.04,Live
1150.31,856.55,Live
1340.14,511.89,Live
14053.36,291.81,Live
1280.24,1241.62,Live
1450.97,783.67,Live
1284.49,303.15,Live
3885.69,429.82,Live
1218.46,1475.36,Live
10156.15,278.47,Live
1089.49,471.25,Live
10252.18,823.48,Live
1215.39,488.34,Live
1196.51,680.4,Live
14667.46,280.74,Live
1262.3,370.05,Live
1702.97,347.38,Live
970.56,2432.05,Live
2781.08,1139.77,Live
1390.75,365.28,Live
9492.26,334.1,Live
1392.13,1257.18,Live
10732.36,273.71,Live
1245.26,1681.49,Live
1653.51,3502.2,Live
9986.51,282.54,Live
1750.64,1472.6,Live
9680.22,276.88,Live
867.37,319.88,Live
1655.89,723.72,Live
10215.14,321.85,Live
2648.72,476.33,Live
9494.72,267.52,Live
1236.06,387.81,Live
1604.02,1047.58,Live
1902.34,3382.02,Live
1666.17,444.28,Live
1039.83,595.85,Live
7560.19,265.93,Live
